service,server,vcpu,memory_gb,stable_rate_rps,arrival_scv,service_scv,running_cost_per_slot,source_status
information_retrieval,NYCMng,2,4.0,11.809,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,SNVAng,2,4.0,12.807,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,STTLng,2,4.0,11.809,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,WASHng,2,4.0,11.387,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
code_execution,ATLAM5,4,8.0,8.339,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,ATLAng,4,8.0,8.119,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,CHINng,4,8.0,7.26,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,DNVRng,4,8.0,8.538,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,HSTNng,4,8.0,7.873,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,IPLSng,4,8.0,8.538,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,KSCYng,4,8.0,7.26,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,LOSAng,4,8.0,8.538,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,NYCMng,4,8.0,7.873,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,SNVAng,4,8.0,8.538,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,STTLng,4,8.0,7.873,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
code_execution,WASHng,4,8.0,7.591,1.0,2.0,5.555555555555556e-05,reference range; replace with pinned low-load measurements
file_processing,ATLAM5,2,4.0,10.424,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,ATLAng,2,4.0,10.149,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,CHINng,2,4.0,9.075,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,DNVRng,2,4.0,10.672,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,HSTNng,2,4.0,9.841,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,IPLSng,2,4.0,10.672,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,KSCYng,2,4.0,9.075,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,LOSAng,2,4.0,10.672,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,NYCMng,2,4.0,9.841,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,SNVAng,2,4.0,10.672,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,STTLng,2,4.0,9.841,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
file_processing,WASHng,2,4.0,9.489,1.0,1.2,2.777777777777778e-05,reference range; replace with pinned low-load measurements
result_verification,ATLAM5,1,2.0,8.339,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,ATLAng,1,2.0,8.119,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,CHINng,1,2.0,7.26,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,DNVRng,1,2.0,8.538,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,HSTNng,1,2.0,7.873,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,IPLSng,1,2.0,8.538,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,KSCYng,1,2.0,7.26,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,LOSAng,1,2.0,8.538,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,NYCMng,1,2.0,7.873,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,SNVAng,1,2.0,8.538,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,STTLng,1,2.0,7.873,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
result_verification,WASHng,1,2.0,7.591,1.0,0.8,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,ATLAM5,1,1.0,3.127,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,ATLAng,1,1.0,3.045,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,CHINng,1,1.0,2.722,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,DNVRng,1,1.0,3.202,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,HSTNng,1,1.0,2.952,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,IPLSng,1,1.0,3.202,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,KSCYng,1,1.0,2.722,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,LOSAng,1,1.0,3.202,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,NYCMng,1,1.0,2.952,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,SNVAng,1,1.0,3.202,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,STTLng,1,1.0,2.952,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
external_api,WASHng,1,1.0,2.847,1.0,2.5,1.388888888888889e-05,reference range; replace with pinned low-load measurements
